,smiles,MP
194,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7.0
195,CCCCn1cc[n+](CCCC)c1.[Cl-],55.0
196,Cn1cc[n+](Cc2ccccc2)c1.[Br-],126.0
197,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,27.0
198,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,130.0
199,COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F,45.0
200,CCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,75.0
201,Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,37.0
202,Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,103.0
203,CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,38.0
204,CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F,48.0
205,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,14.0
206,CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1,70.0
207,Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,48.0
208,Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,52.0
209,CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F,57.0
210,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],38.0
211,CCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,85.0
212,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.0
213,CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,79.0
214,CCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,32.0
215,CCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,21.0
216,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],97.0
217,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],-5.0
218,CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,34.0
219,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17.0
220,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,40.0
221,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,60.0
222,CCCCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,72.0
223,CCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,49.0
224,CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],19.0
225,CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],54.0
226,CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,38.0
227,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34.0
